ID,Question,Type,Options (A–E),Correct Answer(s),Rationale,Category,Difficulty,Last Updated
1,Which insulin peaks in 2–4 hours?,MCQ,A) NPH | B) Regular | C) Lispro | D) Glargine,B,"Regular insulin onset 30–60 min, peak 2–4 hrs, duration 5–8 hrs.",Pharmacology,Easy,2025-09-14
18,Sample NCLEX Question 18 — Pediatrics,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pediatrics,Moderate,2025-09-14
19,Sample NCLEX Question 19 — Psych,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Psych,Moderate,2025-09-14
20,Sample NCLEX Question 20 — Med-Surg,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Med-Surg,Moderate,2025-09-14
21,Sample NCLEX Question 21 — Pharmacology,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pharmacology,Moderate,2025-09-14
22,Sample NCLEX Question 22 — OB/Maternity,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,OB/Maternity,Moderate,2025-09-14
23,Sample NCLEX Question 23 — Pediatrics,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pediatrics,Moderate,2025-09-14
24,Sample NCLEX Question 24 — Psych,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Psych,Moderate,2025-09-14
25,Sample NCLEX Question 25 — Med-Surg,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Med-Surg,Moderate,2025-09-14
26,Sample NCLEX Question 26 — Pharmacology,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pharmacology,Moderate,2025-09-14
27,Sample NCLEX Question 27 — OB/Maternity,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,OB/Maternity,Moderate,2025-09-14
28,Sample NCLEX Question 28 — Pediatrics,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pediatrics,Moderate,2025-09-14
29,Sample NCLEX Question 29 — Psych,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Psych,Moderate,2025-09-14
30,Sample NCLEX Question 30 — Med-Surg,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Med-Surg,Moderate,2025-09-14
31,Sample NCLEX Question 31 — Pharmacology,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pharmacology,Moderate,2025-09-14
32,Sample NCLEX Question 32 — OB/Maternity,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,OB/Maternity,Moderate,2025-09-14
33,Sample NCLEX Question 33 — Pediatrics,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pediatrics,Moderate,2025-09-14
34,Sample NCLEX Question 34 — Psych,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Psych,Moderate,2025-09-14
35,Sample NCLEX Question 35 — Med-Surg,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Med-Surg,Moderate,2025-09-14
36,Sample NCLEX Question 36 — Pharmacology,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pharmacology,Moderate,2025-09-14
37,Sample NCLEX Question 37 — OB/Maternity,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,OB/Maternity,Moderate,2025-09-14
38,Sample NCLEX Question 38 — Pediatrics,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pediatrics,Moderate,2025-09-14
39,Sample NCLEX Question 39 — Psych,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Psych,Moderate,2025-09-14
40,Sample NCLEX Question 40 — Med-Surg,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Med-Surg,Moderate,2025-09-14
41,Sample NCLEX Question 41 — Pharmacology,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pharmacology,Moderate,2025-09-14
42,Sample NCLEX Question 42 — OB/Maternity,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,OB/Maternity,Moderate,2025-09-14
43,Sample NCLEX Question 43 — Pediatrics,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pediatrics,Moderate,2025-09-14
44,Sample NCLEX Question 44 — Psych,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Psych,Moderate,2025-09-14
45,Sample NCLEX Question 45 — Med-Surg,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Med-Surg,Moderate,2025-09-14
46,Sample NCLEX Question 46 — Pharmacology,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pharmacology,Moderate,2025-09-14
47,Sample NCLEX Question 47 — OB/Maternity,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,OB/Maternity,Moderate,2025-09-14
48,Sample NCLEX Question 48 — Pediatrics,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pediatrics,Moderate,2025-09-14
49,Sample NCLEX Question 49 — Psych,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Psych,Moderate,2025-09-14
50,Sample NCLEX Question 50 — Med-Surg,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Med-Surg,Moderate,2025-09-14
